trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
536714828,8,10/1/2022 7:51,10/1/2022 7:59,3162,39.94595,-75.184753,3053,39.932308,-75.181541,5374,30,One Way,Indego30,standard
536723628,10,10/1/2022 7:51,10/1/2022 8:01,3099,39.93401,-75.15094,3010,39.947109,-75.166183,21893,30,One Way,Indego30,electric
536723627,13,10/1/2022 7:52,10/1/2022 8:05,3043,39.93082,-75.174744,3161,39.954861,-75.180908,19634,30,One Way,Indego30,electric
536723626,7,10/1/2022 7:53,10/1/2022 8:00,3167,39.950249,-75.160278,3054,39.962502,-75.174202,22646,365,One Way,Indego365,electric
536742556,55,10/1/2022 7:53,10/1/2022 8:48,3112,39.953732,-75.218246,3158,39.925522,-75.169037,5314,30,One Way,Indego30,standard
536714826,3,10/1/2022 7:54,10/1/2022 7:57,3154,39.95924,-75.158211,3185,39.951691,-75.158882,18423,30,One Way,Indego30,electric
536769867,86,10/1/2022 7:54,10/1/2022 9:20,3057,39.96439,-75.179871,3073,39.96143,-75.15242,11913,30,One Way,Indego30,standard
536714824,4,10/1/2022 7:54,10/1/2022 7:58,3154,39.95924,-75.158211,3185,39.951691,-75.158882,21814,30,One Way,Indego30,electric
536741932,23,10/1/2022 7:55,10/1/2022 8:18,3034,39.933151,-75.162483,3051,39.967442,-75.175072,5236,30,One Way,Indego30,standard
536741829,15,10/1/2022 7:56,10/1/2022 8:11,3059,39.96244,-75.161209,3099,39.93401,-75.15094,22156,30,One Way,Indego30,electric
536733325,9,10/1/2022 8:00,10/1/2022 8:09,3038,39.947811,-75.194092,3012,39.942181,-75.177467,16625,365,One Way,Indego365,electric
536733324,8,10/1/2022 8:02,10/1/2022 8:10,3033,39.95005,-75.156723,3030,39.93935,-75.157158,13048,30,One Way,Indego30,standard
